2017-06-18 14:20:00.2329 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:25:18.7995 | DEBUG | ORM.EntityModel | Background
2017-06-18 14:31:38.3801 | DEBUG | ORM.EntityModel | Background
2017-06-18 14:32:53.6683 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:41:37.0743 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:47:31.5991 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:48:55.9054 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:49:50.4891 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:52:23.8854 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 14:53:40.4772 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:05:45.1202 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:16:53.2011 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:17:53.0950 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:17:53.3600 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:17:53.3600 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:17:53.7141 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:17:53.7141 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:17:53.7141 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:17:53.7281 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:34:21.7605 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:34:48.6660 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:34:48.6660 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:34:49.0130 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:41:49.5241 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:42:25.9862 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:42:25.9862 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:42:26.2062 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:42:49.1270 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:42:51.2080 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:42:51.2080 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:42:51.5280 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:43:12.0452 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:43:12.0452 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:43:12.1392 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:43:19.6480 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:43:19.6480 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:43:19.7020 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:43:49.1304 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:44:49.1232 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:45:09.3897 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:45:09.3897 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:45:09.4357 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:45:42.7385 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:45:42.7385 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:45:42.8425 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:45:42.8835 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:45:42.8835 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:45:42.9425 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:45:47.5454 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:45:47.5454 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:45:47.7094 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:45:47.7494 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:45:47.7494 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:45:48.0545 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:45:49.1183 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:46:36.2531 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:46:36.2531 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:46:36.5041 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:47:29.8773 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:51:04.8652 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:51:35.0502 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:51:35.0502 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:51:35.2752 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:52:04.3953 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:52:33.0992 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:52:33.0992 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:52:33.2182 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:52:49.7135 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:52:49.7135 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:52:49.7595 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:53:04.3953 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:53:46.0329 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:53:46.0329 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:53:46.0799 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:53:46.1109 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:53:46.1109 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:53:46.1489 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:54:04.3990 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:54:27.7879 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:54:27.7879 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:54:27.8319 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:54:39.0178 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:54:39.0178 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:54:39.0698 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:54:58.8259 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:54:58.8259 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:54:58.8709 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:54:58.9009 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:54:58.9009 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:54:59.0349 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 16:55:21.3168 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 16:55:21.4848 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 16:55:21.4848 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 16:55:21.5548 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:00:26.5192 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:01:08.7476 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:01:08.7476 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:01:09.0306 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:01:26.1716 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:01:48.7899 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:01:48.7899 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:01:48.9199 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:02:01.4616 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:02:01.4616 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:02:01.5106 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:02:26.2330 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:02:45.1871 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:02:45.1871 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:02:45.2591 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:02:53.8736 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:02:53.8736 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:02:53.9176 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:03:26.1695 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:03:55.0931 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:03:55.0931 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:03:55.1401 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:03:55.1721 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:03:55.1721 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:03:55.2971 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
